seat,grade,sex,household_income,school_distance,tuition,attitude
1,2,male,low,0.1,True,9
2,3,male,mid,0.1,True,8
3,3,male,high,0.1,True,8
4,1,male,mid,8.6,True,9
5,2,male,mid,2.0,False,9
6,2,male,high,6.0,False,9
7,4,male,low,6.0,True,5
8,1,male,high,1.5,True,9
9,2,male,mid,3.2,False,9
10,1,male,high,5.4,False,9
11,3,male,mid,0.1,True,9
12,3,female,low,3.0,False,7
13,2,female,low,0.1,True,7
14,3,female,low,0.1,False,6
15,4,female,low,1.5,False,9
16,3,female,mid,3.4,False,4
17,5,female,low,2.4,True,4
18,5,female,low,21.4,True,4
19,4,female,mid,5.6,False,5
20,5,female,high,18.9,False,1
21,2,male,low,0.1,False,8
22,1,male,mid,0.1,True,9
23,1,male,low,0.1,True,8
24,1,male,mid,1.0,True,8
25,2,male,low,0.7,False,7
26,2,male,low,0.2,True,6
27,5,male,low,10.2,True,8
28,3,male,high,0.7,True,5
29,2,male,mid,0.2,False,8
30,2,male,mid,8.5,True,10
31,2,male,high,3.0,True,9
32,5,female,low,0.1,False,1
33,5,female,low,2.0,True,4
34,4,female,low,20.0,True,7
35,4,female,high,0.1,True,5
36,5,female,low,3.4,True,2
37,5,female,high,16.0,True,4
38,4,female,low,0.5,True,4
39,3,female,low,8.0,False,6
40,4,female,low,0.1,False,5
41,5,female,mid,0.1,False,4
42,3,male,low,0.1,True,5
