seat,grade,sex,household_income,school_distance,tuition,attitude
1,yi,male,low,0.1,True,9
2,bing,male,mid,0.1,True,8
3,bing,male,high,0.1,True,8
4,jia,male,mid,8.6,True,9
5,yi,male,mid,2.0,False,9
6,yi,male,high,6.0,False,9
7,ding,male,low,6.0,True,5
8,jia,male,high,1.5,True,9
9,yi,male,mid,3.2,False,9
10,jia,male,high,5.4,False,9
11,bing,male,mid,0.1,True,9
12,bing,female,low,3.0,False,7
13,yi,female,low,0.1,True,7
14,bing,female,low,0.1,False,6
15,ding,female,low,1.5,False,9
16,bing,female,mid,3.4,False,4
17,wu,female,low,2.4,True,4
18,wu,female,low,21.4,True,4
19,ding,female,mid,5.6,False,5
20,wu,female,high,18.9,False,1
21,yi,male,low,0.1,False,8
22,jia,male,mid,0.1,True,9
23,jia,male,low,0.1,True,8
24,jia,male,mid,1.0,True,8
25,yi,male,low,0.7,False,7
26,yi,male,low,0.2,True,6
27,wu,male,low,10.2,True,8
28,bing,male,high,0.7,True,5
29,yi,male,mid,0.2,False,8
30,yi,male,mid,8.5,True,10
31,yi,male,high,3.0,True,9
32,wu,female,low,0.1,False,1
33,wu,female,low,2.0,True,4
34,ding,female,low,20.0,True,7
35,ding,female,high,0.1,True,5
36,wu,female,low,3.4,True,2
37,wu,female,high,16.0,True,4
38,ding,female,low,0.5,True,4
39,bing,female,low,8.0,False,6
40,ding,female,low,0.1,False,5
41,wu,female,mid,0.1,False,4
42,bing,male,low,0.1,True,5
